Dr. Melissa Lane has graciously allowed these calcite emissivity measurements for distribution with this journal article and their general distribution for these analyses.
Copyright:  These calcite measurements provided in this CSV file are copyright to her, 1999, and are displayed in Figure 3(c) from her journal article that should be attributed in any derivative works.
Journal article:  Lane, Melissa D.  Midinfrared optical constants of calcite and their relationship to particle size effects in thermal emission spectra of granular calcite.  Journal of Geophysical Research, 1999, 104, no. E6, 14099–14108.
9.324,0.8615,0.8915,0.9212,0.942,0.9606
9.341,0.8641,0.893,0.923,0.9439,0.9608
9.358,0.8662,0.8951,0.9241,0.9457,0.9592
9.375,0.8664,0.895,0.9215,0.9454,0.9583
9.392,0.8638,0.8927,0.9187,0.9444,0.9584
9.409,0.8601,0.8908,0.9182,0.9434,0.9585
9.426,0.8563,0.8873,0.9153,0.9408,0.9575
9.443,0.8539,0.885,0.9144,0.9398,0.9565
9.46,0.8524,0.8837,0.9153,0.9394,0.9561
9.478,0.85,0.8825,0.9137,0.9374,0.9562
9.495,0.8518,0.8842,0.9141,0.939,0.9584
9.512,0.8548,0.8849,0.9156,0.9407,0.9605
9.53,0.8551,0.8857,0.9158,0.9408,0.9601
9.547,0.8567,0.8876,0.9179,0.943,0.9601
9.565,0.8587,0.8891,0.9197,0.9431,0.9597
9.583,0.862,0.8915,0.9219,0.9454,0.9613
9.6,0.8639,0.8935,0.9235,0.9465,0.9625
9.618,0.8649,0.8949,0.9229,0.9456,0.962
9.636,0.8664,0.8958,0.9233,0.9462,0.961
9.654,0.8664,0.8947,0.9228,0.9458,0.959
9.672,0.8703,0.8966,0.9262,0.9525,0.9621
9.69,0.8772,0.9016,0.9332,0.9591,0.9662
9.708,0.8827,0.9077,0.9364,0.9561,0.9668
9.726,0.887,0.9131,0.9404,0.9556,0.9678
9.745,0.8928,0.9182,0.9453,0.9586,0.9709
9.763,0.8958,0.9199,0.946,0.9586,0.9714
9.781,0.8961,0.9206,0.9447,0.9586,0.9708
9.8,0.8973,0.9213,0.9443,0.9596,0.9703
9.819,0.8994,0.9229,0.9451,0.9611,0.9703
9.837,0.9011,0.926,0.9469,0.9615,0.9702
9.856,0.9023,0.9266,0.9482,0.962,0.9697
9.875,0.9036,0.9267,0.9488,0.9629,0.9711
9.894,0.9037,0.9277,0.9492,0.9643,0.9721
9.912,0.9016,0.9258,0.9477,0.9633,0.972
9.931,0.8973,0.9231,0.9448,0.9598,0.97
9.95,0.8947,0.9204,0.9431,0.9573,0.9685
9.97,0.8948,0.9185,0.9424,0.9587,0.9684
9.989,0.8945,0.9195,0.9428,0.9596,0.9688
10.008,0.8929,0.9191,0.9418,0.9586,0.9697
10.027,0.8915,0.9174,0.94,0.9571,0.9682
10.047,0.8924,0.917,0.941,0.9565,0.9691
10.066,0.8922,0.9174,0.9402,0.9569,0.9685
10.086,0.8895,0.9142,0.9392,0.9568,0.9675
10.106,0.8856,0.9115,0.9375,0.9563,0.9679
10.125,0.8822,0.9092,0.9354,0.9543,0.9668
10.145,0.8786,0.9057,0.9319,0.9524,0.9653
10.165,0.8771,0.904,0.9305,0.9518,0.9648
10.185,0.8759,0.9028,0.9303,0.9499,0.9642
10.205,0.8778,0.9059,0.9329,0.9521,0.9665
10.225,0.8778,0.9062,0.9325,0.9529,0.9677
10.245,0.8731,0.9007,0.9277,0.9505,0.9648
10.266,0.8656,0.8948,0.9234,0.9468,0.9619
10.286,0.8613,0.8916,0.9214,0.9448,0.9632
10.307,0.8589,0.8898,0.9204,0.9452,0.964
10.327,0.8557,0.8876,0.9177,0.9447,0.9625
10.348,0.8544,0.8868,0.9159,0.9437,0.9629
10.368,0.8534,0.8847,0.9154,0.9418,0.9605
10.389,0.8528,0.8839,0.9156,0.9413,0.9599
10.41,0.8533,0.8863,0.9171,0.9426,0.9603
10.431,0.8562,0.8889,0.9209,0.9447,0.962
10.452,0.8625,0.8933,0.925,0.9473,0.9651
10.473,0.8691,0.8986,0.928,0.9522,0.9672
10.494,0.8737,0.9014,0.9306,0.9538,0.9685
10.516,0.8778,0.9046,0.9332,0.9537,0.9697
10.537,0.8793,0.9059,0.9337,0.9536,0.9695
10.558,0.8798,0.9068,0.935,0.9548,0.9694
10.58,0.8803,0.9081,0.9357,0.9556,0.9697
10.602,0.8792,0.9068,0.9352,0.9532,0.97
10.623,0.8785,0.9064,0.9347,0.9527,0.9698
10.645,0.8822,0.9077,0.9349,0.9543,0.9719
10.667,0.8846,0.909,0.9356,0.9564,0.9735
10.689,0.883,0.9103,0.9377,0.958,0.9743
10.711,0.8789,0.9082,0.9359,0.9556,0.9705
10.733,0.8742,0.9065,0.9328,0.9524,0.9682
10.756,0.8712,0.9038,0.9308,0.9532,0.9689
10.778,0.8667,0.8982,0.9265,0.9509,0.9674
10.8,0.8596,0.891,0.921,0.9468,0.9651
10.823,0.8521,0.8835,0.9157,0.9424,0.9627
10.846,0.8447,0.8769,0.9105,0.938,0.9591
10.868,0.8385,0.8719,0.906,0.935,0.9573
10.891,0.8349,0.8686,0.9033,0.9344,0.9576
10.914,0.834,0.8661,0.9017,0.9339,0.9574
10.937,0.8327,0.8655,0.9004,0.9321,0.9543
10.96,0.8343,0.8668,0.9008,0.9329,0.9537
10.983,0.8369,0.869,0.9027,0.934,0.9549
11.007,0.8401,0.8715,0.9054,0.9356,0.9568
11.03,0.8445,0.8749,0.907,0.9367,0.9579
11.054,0.8473,0.877,0.9081,0.9366,0.9569
11.077,0.8494,0.8788,0.9083,0.9361,0.9543
11.101,0.8544,0.8837,0.9126,0.9372,0.9562
11.125,0.8589,0.8874,0.9144,0.9375,0.9561
11.149,0.8655,0.891,0.916,0.9382,0.9547
11.173,0.8708,0.8934,0.9161,0.9364,0.9524
11.197,0.87,0.889,0.9089,0.9277,0.9428
11.221,0.8649,0.8804,0.8945,0.9112,0.9266
11.246,0.8466,0.8548,0.8629,0.8748,0.8906
11.27,0.8211,0.8185,0.8229,0.8269,0.8406
11.295,0.8153,0.805,0.8073,0.8044,0.8154
11.319,0.8256,0.813,0.8149,0.8084,0.8158
11.344,0.8332,0.82,0.8218,0.8141,0.8208
11.369,0.8399,0.8267,0.8294,0.8222,0.8305
11.394,0.8608,0.8505,0.8543,0.8505,0.8587
11.419,0.8909,0.8847,0.8895,0.889,0.8963
11.444,0.9101,0.9066,0.9119,0.9125,0.9201
11.469,0.9181,0.9168,0.923,0.9228,0.9321
11.495,0.9249,0.9254,0.9313,0.9322,0.94
11.52,0.9297,0.9316,0.9373,0.9393,0.9471
11.546,0.9311,0.9338,0.9402,0.9423,0.9514
11.572,0.929,0.9341,0.9418,0.9445,0.9528
11.598,0.9251,0.9316,0.9398,0.9451,0.9546
11.624,0.922,0.9299,0.9398,0.9458,0.9572
11.65,0.9175,0.927,0.9398,0.9468,0.9586
11.676,0.9101,0.9214,0.9355,0.9446,0.9572
11.702,0.904,0.917,0.9329,0.9444,0.9571
11.729,0.9025,0.9173,0.9343,0.9466,0.9581
11.756,0.9131,0.9261,0.9394,0.9492,0.9603
11.782,0.93,0.9375,0.9484,0.9536,0.9624
11.809,0.9258,0.9331,0.943,0.9531,0.9591
11.836,0.902,0.9111,0.9228,0.9447,0.9511
11.863,0.8741,0.8925,0.9118,0.9372,0.9505
11.89,0.8523,0.8793,0.9066,0.9313,0.9516
11.918,0.8405,0.8704,0.9009,0.9285,0.9506
11.945,0.8305,0.8634,0.8967,0.9264,0.9497
11.973,0.8231,0.8571,0.893,0.9244,0.9468
12,0.8182,0.8532,0.8897,0.9223,0.9459
12.028,0.813,0.8487,0.8851,0.9187,0.945
12.056,0.8087,0.8464,0.8812,0.9178,0.9429
12.084,0.807,0.8452,0.879,0.9166,0.9435
12.113,0.807,0.8436,0.8812,0.9153,0.9453
12.141,0.8082,0.844,0.8825,0.9171,0.9455
12.169,0.809,0.8444,0.882,0.9189,0.9446
12.198,0.8108,0.8467,0.884,0.9206,0.946
12.227,0.8141,0.8505,0.8871,0.9232,0.9481
12.256,0.8166,0.8534,0.8906,0.925,0.9507
12.285,0.819,0.856,0.8938,0.9263,0.9517
12.314,0.8214,0.8575,0.8931,0.9277,0.9515
12.343,0.8226,0.8575,0.8935,0.928,0.9513
12.373,0.8225,0.8566,0.8938,0.9271,0.9508
12.402,0.8214,0.8563,0.8932,0.9258,0.9506
12.432,0.8219,0.8581,0.8938,0.9268,0.9508
12.462,0.8229,0.8597,0.8955,0.9277,0.9506
12.492,0.8253,0.8615,0.8973,0.9295,0.9523
